code,lat,lon,elevation
CR,55.975472,-3.301978,21
CS,55.953478,-3.276433,136
SI,55.92865,-3.285806,49
TR,55.974219,-3.202067,34
BG,55.965681,-3.205347,18
BR,55.918911,-3.210475,94
HL,55.885692,-3.201314,189
CE,55.861661,-3.204533,195
IN,55.935267,-3.044133,25
IB,55.895978,-3.100689,76
LW,55.877925,-3.123814,78
CK,55.970003,-2.962939,7
OX,55.879017,-2.980708,145
VG,55.857519,-3.000206,172
GF,56.003525,-2.871544,11
EL,55.958794,-2.864553,87
EC,55.924986,-2.875692,107
TN,55.949656,-2.957928,72
DK,55.899067,-3.065975,51
BN,55.910253,-3.147881,95
